verb	label	sentence	start_char	end_char
make	DYNAMIC	"(3) Is there a solution that will make character set convertors for diffrent codes ""plug-and-play"" (i.e."	34	37
make	DYNAMIC	(5) If we need to solve these problems and UCS (ISO 10 646) is the only available general option today which is maybe close to be sufficient, can we start with UCS and make minimal changes or specifications which will be sufficient for our needs.	168	171
left	STATIVE	(5.1) The order of octets in the interchange of data is left to be specified by the sender and the recipient in UCS.	56	59
assigned	DYNAMIC	Who knows if ISO 10646 has been assigned numbers and escape sequences?	32	39
assigned	DYNAMIC	Escape sequences are assigned by the Registration Authority, and the Registration Authority is now with ECMA.	21	28
felt	STATIVE	I have not much time to spend on this subject, but I would have felt bad not to express these opinions once.	64	67
work	STATIVE	I participated to the design of Kermit multinational 8-bit characters support and the TCP/IP network I work for is well on the way towards the the same theory that every character on the communication line is ISO 8859-1.	103	106
considered	STATIVE	Any exception to this, like translating EBCDIC directly to PC code on one machine, is considered harmful to our internetworking, even if convenient.	86	95
start	DYNAMIC	Every piece working towards a common well defined goal finally pays more when all parts start to clutch than wandering for immediate interest.	88	92
adopted	DYNAMIC	To solve this problem, rules like XDR (external data representation) have been devised, and, because it was so important, the rules have been adopted.	142	149
becomes	DYNAMIC	Now that networking reaches its real dimension of an international mesh, the problem of national languages usage becomes very real, at least locally, but more and more internationally.	113	119
has	DYNAMIC	Any computer has to exchange more than ASCII.	13	15
modified	DYNAMIC	It is best for a computer to use the code of interchange internally, but all computers in the world cannot be modified overnight.	110	117
amplified	STATIVE	The impact of today's decisions is amplified by time.	35	43
refer	DYNAMIC	What seems clear in my mind is that the translation is not in several final protocols, but a protocol by itself -- like XDR -- that other protocols refer to.	148	152
extends	STATIVE	"Note that the ""level 6 or so"" concept applied to text extends slightly beyond the representation of characters (and binary data) towards file structure."	54	60
take	DYNAMIC	Clearly, it will take much time to stand in ASCII's shoes.	17	20
take	DYNAMIC	But doing otherwise would take even longer to erase and redo.	26	29
write	DYNAMIC	If you write anything you want me to read, please make a personal reply and allow for two weeks before I can read it.	7	11
asked	STATIVE	What is an FAQ is a frequently asked question.	31	35
made	DYNAMIC	David made some excellent points regarding STLP.	6	9
working	STATIVE	Microsoft and Netscape are working with the IETF to create one IETF standard which both companies can support.	27	33
been	DYNAMIC	As you pointed out, there has been some confusion over this issue.	30	33
labeled	DYNAMIC	It was unfortunate that the strawman document was labeled as a draft in the press and by others.	50	56
is	DYNAMIC	"I believe that what you are saying is that no draft was ""submitted,"" but rather ""made available for review,"" albeit with rather late instructions as to location and ownership."	35	36
raised	DYNAMIC	"All the above reflects my personal belief that this particular BOF-cum-WG should stretch to maintain the status of ""Caesar's wife;"" and also reflects my concern at the questions being raised by others last week."	184	189
expected	STATIVE	"Rendering into other media (such as speech) is expected to communicate, essentially, a ""mental picture"" of the 2-dimensional form of an expression."	47	54
have	DYNAMIC	(Rationale: since almost all mathematics is conventionally expressed in 2-dimensional graphical form, most notations in that medium have no standard version in other media.)	132	135
make	DYNAMIC	Check out (listen to ) some of the demos on my AsTeR WWW site-- they make the point about spoken renderings being *independent* of the visual 2D layout far better than I am capable of in a plain-text email message.	69	72
make	DYNAMIC	Dave has been unable to find any time that all of us can make.	57	61
accepted	DYNAMIC	Ralph Youngen, Associate Director, Electronic Product Development for AMS has accepted the invitation to join the group, along with a couple of his colleagues.	78	85
is	DYNAMIC	When using operator precedence, there is a need to constrain the context in which given operators can be used.	38	39
appear	STATIVE	Niel said this wasn't as simple as at first it might appear.	53	59
work	DYNAMIC	Dave will work on a formal mechanism for this.	10	13
agreed	DYNAMIC	"We agreed however, that a fixed set of ""layout"" idioms are sufficient for HTML-math."	3	8
gone	DYNAMIC	Critics have now gone so far as to call for the revocation of the award.	17	20
going	DYNAMIC	It is fascinating to watch the organized character assassination of Michael Moore that has been going on in the United States since the release of his last documentary.	96	100
perceived	STATIVE	"In a time of simple-minded patriotism, loud, clear and dissenting voices like Mr. Moore's are perceived as disturbing and have to be silenced, partially through well funded public relations campaigns, partially through conservative ""grass-roots"" propaganda."	94	102
cause	DYNAMIC	After all, early in the movie he discards the possibility that playing violent video games and watching violent flicks can cause violence -- because Canadians like, and Japanese positively love, those.	123	127
killed	DYNAMIC	The latter is the kind of media propaganda that was used to unleash a genocide in Rwanda in 1994, which killed 800,000 people.	104	109
had	STATIVE	Similarly, the main motivation for the crusades (beyond the promise of wealth) was that Christians were supposedly being slaughtered and had to be saved.	137	139
presents	DYNAMIC	Interactive fiction like video games, on the other hand, presents violence in a narrative context, which may very well desensitize participants to said violence, but no causative link has ever been proven.	57	64
described	DYNAMIC	This is consistent with the kind of media-incited violence described above, and in no relationship whatsoever to the theory of video game or music incited violence.	59	67
shared	STATIVE	Moore's second hypothesis is that America's foreign policy may contribute to the belief that violence is an appropriate means to solve conflicts, a hypothesis which is shared by many sociologists and psychologists.	168	173
known	STATIVE	Children who grow up in war-torn regions are known for having similar views -- war is perceived as a normal part of existence, violence as a natural way to solve disputes.	45	49
projected	DYNAMIC	"In a weaker sense, the same message is projected to American children, who grow up being told that it is not acceptable to be violent to one another, but who simultaneously have to endure corporal punishment and media messages about how ""the enemies of freedom"" are punished."	39	47
made	DYNAMIC	Moore's film was made before the dead bodies of Qusay and Uday Hussein were paraded on national TV.	17	20
goes	STATIVE	That goes for your grandson Mustafa too, by the way.	5	8
killed	DYNAMIC	Mustafa was 14 years when he was killed.	33	39
wonder	STATIVE	Americans cheer the killing of children, yet wonder why their own children grow up to be more violent than those in other nations.	45	50
seeks	DYNAMIC	It is paradoxical notions like this one which Moore's film seeks to address.	59	63
listed	STATIVE	1) The bank scene, listed on your website on a separate page.	19	24
stated	DYNAMIC	"Critics have stated that this scene was ""staged"", but in the bank interview, the official tells Moore that the bank has its own vault storing about 500 weapons at any given time."	13	18
explained	STATIVE	"It is not explained what ""normally"" is supposed to mean, but that claim flatly contradicts the statement of the bank official in the film."	10	18
claims	DYNAMIC	This sounds more like a later correction for public relations purposes, but of course nobody questions the bank claims when they can be used against Moore.	112	117
makes	STATIVE	This is plausible -- but entirely irrelevant for the movie, which already makes it quite clear that a background check is being performed.	74	78
does	DYNAMIC	The bank does exactly what it advertises: It hands out guns from its vault to those who open an account.	9	12
repeated	DYNAMIC	This is perhaps the criticism repeated the most often, and it also the most inaccurate.	30	37
are	DYNAMIC	First, the actual quotes from the film are often reproduced incorrectly.	39	41
goes	STATIVE	The dialogue goes as follows:	13	16
builds	DYNAMIC	"Moore: ""So you don't think our kids say to themselves, gee, dad goes off to the factory every day - he builds missiles."	103	108
being	DYNAMIC	McCollum understands it this way -- otherwise he would protest against the plant being mischaracterized.	81	85
presented	DYNAMIC	However, critics of Moore have cleverly ignored McCollum's response and presented Moore as spreading lies about the Lockheed plant.	72	80
make	DYNAMIC	"In response to one Moore detractor, McCollum wrote: ""Although other units of Lockheed Martin Corporation elsewhere in the country produce weapons to support the defense of the U.S., we make no weapons at the Littleton-area facility Moore visited."""	185	188
points	DYNAMIC	As Moore correctly points out, it is bizarre for a society to openly embrace the production of destructive weapons, but on the other hand see no connection of this to everyday violence -- children learn by imitating adults.	19	24
have	DYNAMIC	It is typical for his critics to jump on what is at most a slightly misleading implication, but in doing so, they themselves have, unlike Moore, made many incorrect claims.	125	129
claim	STATIVE	"This is a common technique, but because conservative readers are not familiar with the basics of filmmaking, they believe critics who claim that he is ""distorting"" the interview."	134	138
have	DYNAMIC	"Moore's critics would expect us to have him quote Heston in his entirety, have him present fully the PR that the NRA has used to justify its rally in Denver for reasons of ""balance""."	35	38
claim	STATIVE	"You claim that there was ""no way to change location, since you have to give advance notice of that to the members, and there were upwards of 4,000,000 members."""	4	8
had	STATIVE	10 days are more than enough to give advance warning of a change in location or date, had the NRA really wanted to.	86	88
did	DYNAMIC	That does not change the fact that they did just that.	40	42
shows	STATIVE	"This booing by the crowd, not mentioned with a single word in your transcript or your article, shows that the crowd was fully aware of the controversy they would cause by coming to Littleton after children were being killed there -- and they effectively said ""Fuck you""."	95	99
works	DYNAMIC	"Again, standard filmmaking techniques are interpreted as smooth distortion: ""Moore works by depriving you of context and guiding your mind to fill the vacuum -- with completely false ideas."	83	87
kept	DYNAMIC	This is naive to the extreme -- Heston would not be president of the NRA if he was not kept up to date on the most prominent cases of gun violence.	87	90
respond	DYNAMIC	Even if he did not respond to that part of the interview, he certainly knew about the case at that point.	19	25
got	DYNAMIC	Unfortunately, because the zooming is rather fast, it is easy to miss the rest of the sentence, so as you correctly note, some viewers got an incorrect impression.	135	137
see	DYNAMIC	In the excerpt from said interview, we can see that it is from March.	43	45
happened	DYNAMIC	"c) Both the ""soccer mom"" interview and the sequences showing the NRA rally make no effort to distort the fact that this rally happened months after the fact."	126	133
makes	STATIVE	This makes no sense.	5	9
led	DYNAMIC	The somewhat inept editing of the NRA press release has led some viewers to wrong conclusions, which is unfortunate, but Moore's critics have no interest in viewing the matter fairly.	56	58
does	DYNAMIC	"In any case, at no point does Moore make a false statement, in contradiction to claims by critics that his documentary is ""full of lies""."	25	28
wanted	DYNAMIC	"These people do not feel the need to express sympathy, or to think about ways to avoid such incidents, but they feel the need to assert their ""rights"" and to look for quick, simple answers -- as Busch states, gun owners wanted to ""hang [the child] from the highest tree""."	220	225
have	DYNAMIC	"From this, you construct an obscure conspiracy of ""re-enactment"": ""For all we can tell, Moore could have shouted 'Hey!'"	100	103
left	DYNAMIC	"to make Heston turn around and then remained silent as Heston left."""	62	67
see	STATIVE	"Even if your ""re-enactment"" theory is true (and I see no evidence that you have actually tried to ask the people involved in the filmmaking for their opinion), this itself is not unethical, and you have no evidence whatsoever that Moore has done anything unethical here, just like you have no evidence that Moore has unethically removed parts of the interview."	50	52
consider	STATIVE	Of course the cartoon is highly oversimplified, and most critics consider it one of the weakest parts of the film.	65	72
looks	DYNAMIC	It is the typical right-wing reaction which looks for simple answers that do not contradict the Republican mindset.	44	48
made	DYNAMIC	"It is equally well known that the so-called ""war on drugs"" begun under the Nixon administration is a failure which has cost hundreds of billions and made America the world leader in prison population (both in relative and absolute numbers)."	149	152
seen	STATIVE	In poor areas, the highly profitable drug business obviously is often seen as the last resort.	70	73
had	STATIVE	"Had the boy's mother not been shipped to a ""welfare to work"" program, she might at least have had some time to spend with her son."	94	96
seen	DYNAMIC	In reality, what Moore describes here is the most vivid example of what can only be called wage slavery I have ever seen, to the detriment of families.	116	120
called	DYNAMIC	"It is notable that the Wall Street Journal's reaction to this segment of the film was even more dismissive than yours: It called Moore's claim ""preposterous""."	122	127
warned	DYNAMIC	Never mind the fact that authors such as Robert Scheer warned of aiding the Taliban as early as in May 2001.	55	60
did	DYNAMIC	Never mind that they did so not out of some humanitarian motivation, but because of the Taliban's violent enforcement of the ban on opium poppies.	21	23
dwell	DYNAMIC	Statistics are Moore's weakest point, and it is surprising that his critics don't dwell on them longer.	82	86
found	DYNAMIC	A good comparison of international homicide rates can be found on the relatively neutral guncite.com website.	57	61
compares	DYNAMIC	Not surprisingly, guncite, too, compares data from different years -- as I know from personal experience, it is quite difficult to do comparisons of crime statistics due to differences in reporting frequency and methodology.	32	39
mentioned	DYNAMIC	The gun homicide rates for the countries Moore mentioned, according to guncite, are:	47	56
cited	DYNAMIC	In fact, Moore mentions several counter-examples, and more such counter-examples can indeed be cited.	95	100
seek	DYNAMIC	"It is the second intuition which gun rights groups like the NRA seek to obscure using fraudulent data by the likes of John ""Mary"" Lott."	64	67
shows	DYNAMIC	Bowling shows Moore casually buying ammunition at an Ontario Walmart.	8	12
fail	STATIVE	"Once again, you fail to distinguish between regular film editing and ""faking"" (a word which ""Canadian officials"" have never used; for such a distortion, Moore would have been boiled alive by his critics)."	16	19
made	DYNAMIC	He made no claims whatsoever in the film about the need to show or not show identification.	3	6
portrayed	DYNAMIC	You conclude from Heston's own words that Heston was somehow portrayed as racist.	61	69
comes	DYNAMIC	Other than towards the NRA, the movie tries hard to avoid simplistic conclusions, and comes up with some thoughtful answers.	86	90
look	DYNAMIC	Humans, in the process of defining themselves, look to immediately recognizable factors in order to differentiate themselves from others.	47	50
noted	STATIVE	One of the most dominant and easily noted factors is language.	36	40
speaks	DYNAMIC	The command of a language, while not affording guaranteed access to the community which speaks it, is often the key to gaining entry.	88	93
formed	DYNAMIC	In turn communal identity can be formed around a language; it is used as the focal point around which the group gathers.	33	38
plays	STATIVE	Language plays a complex and integral role in the development and redefinition of an identity, particularly when that identity has been oppressed and subsumed by a dominant other for as long as that of the indigenous peoples in Latin America has.	9	13
tied	STATIVE	Their struggle to attain status in societies still bearing the marks of Spanish colonialism is deeply tied to their struggle to reaffirm the nature of their “indigenous identity”, and is in turn linked to the interaction of Spanish and their native languages.	102	105
maintained	DYNAMIC	Initially the Spanish government attempted to instate the encomienda system, in which a conquistador maintained direct control over the indigenous peoples and their land.	101	110
resulting	DYNAMIC	In reality land ownership rights were the exclusive right of the Spanish, resulting in modern-day malappropriation of land ownership in the hands of the descendants of the Spanish colonialists (Warren 1978, 7-8).	74	82
recognized	DYNAMIC	The impoverished plight of the native populations was first recognized by the Marxist movements of the early 20th century.	60	69
maintained	STATIVE	Those were the first to articulate the necessity of affirming the independent identity of the indigenous populations; previously, both the left and right maintained a belief in indigenous assimilation into the dominant Spanish culture.	154	163
possessed	STATIVE	The Marxists, on the contrary, argued that the indigenous peoples possessed a unique identity.	66	74
claimed	DYNAMIC	However, they also claimed that they were part of a larger group, the working class, whose poverty was a direct result of American imperialism; therefore they should join these new popular leftist movements in order to reorganize society into a worker-friendly one (Jackson 1995: 6-7).	19	25
maintain	STATIVE	Guerrilla warfare has since become a part of Colombian life; multiple groups maintain an ongoing presence, often stationing themselves in the remote mountainous villages often populated by various indigenous peoples.	77	84
make	STATIVE	This resulted in persecution against the Mayans, who make up about 60% of the overall population.	53	56
seen	STATIVE	By the 1970s the need to assert a cause separate from the general left was seen, and indigenous rights movements formed (Warren 2003: 174, Jackson 2002: 82).	75	79
speak	DYNAMIC	Most still speak it in various forms, and efforts by Mayan linguists to standardize the language are producing a coherent, modern version of Maya (England 2003: 733, 739).	11	15
continues	STATIVE	The popular left, however, continues to see the rhetoric of ethnic rights as a politically viable tool.	27	35
benefits	STATIVE	The Pan-Mayan movement thus benefits from the lasting influence of the popular left on Guatemalan governmental policies without risking drawing the (often negative) attention of the government (England 2003: 735, Warren 2003: 181).	28	35
seek	STATIVE	Pan-Mayan leaders therefore seek to develop a return to Maya as it was in its classical renaissance, a language of power and prestige (England 2003: 736).	28	31
divided	STATIVE	"Colombia, in contrast, has no unified ""pan-Indian"" sentiments; the indigenous population is a small fraction of the overall population, a fractured entity divided by region and language."	155	161
poses	STATIVE	Several competing and oftentimes conflicting indigenous rights advocacy groups have developed: the ONIC poses itself as the sole pan-Indian group, yet lacks legitimacy in the eyes of many indigenous peoples (Jackson 2002: 83, 85).	104	108
stands	STATIVE	It often stands in conflict with the AICO, its Guambiano counterpart (Jackson 2003: 83-84).	9	14
stood	STATIVE	The Nasa and Guambiano have stood in opposition since pre-colonial times; therefore any coalition between the two advocacy groups is tenuous at best (Rappaport 2005: 2).	28	32
forced	STATIVE	The return to customary law reflects a substantial shift in indigenous identity: no longer ruled by Western laws and discourse, communities are forced to assess the efficacy of their old judicial systems in light of the modern era.	144	149
stands	STATIVE	The Colombian constitution stands in stark contrast to the failure of the Guatemalan indigenous rights referendum of 1999.	27	32
codified	STATIVE	Mayans gained formal recognition in 1995 as the majority population in a precursor to the 1996 peace accord; by 1999 its government floated a referendum on an indigenous bill of rights resembling that codified in the Colombian constitution (Warren 2002: 157-158).	201	208
covered	STATIVE	However, it reflects on a greater level both the desire of many Mayans to assimilate, as they still feel that is necessary for social mobility, and a belief among the general population that Mayans do not require a separate bill of rights as they are covered under the general rights already in the constitution (Warren 2002: 159, 172).	251	257
encourages	DYNAMIC	Nonetheless, in 2003 the legislature passed the law of national languages, which while reaffirming Spanish as the official language, recognizes the importance of indigenous languages as part of national identity and encourages their active promotion.	216	225
seen	STATIVE	While largely symbolic, it is still significant in that Guatemalan identity is seen as encompassing languages other than Spanish.	79	82
manifests	STATIVE	This question of identity as defined by language manifests differently in Guatemala and Colombia.	49	57
considered	STATIVE	An example is the Tukanoans: while considered a single “ethnic group”, they maintain 16 distinct language groups and practice linguistic exogamy, in which members of one language group must marry into another (Jackson 1995: 4).	35	44
aided	STATIVE	Conflict between cultures arise as cosmovision is rediscovered and developed, often by native shamans in tandem with indigenous leaders aided by outside researchers and non-governmental organizations.	136	140
lead	DYNAMIC	The differences between Western and native perceptions then lead to conflict within the revitalization movements themselves: the question of embracing Western law and discourse is continually grappled with.	60	63
proved	DYNAMIC	Translation of law into native languages has proved to be a difficult task, as Western ideas often have no parallel in indigenous cosmovision.	45	50
employed	DYNAMIC	Translation fulfills another vital role, as it is employed in the rediscovery of the indigenous identity itself.	50	57
work	DYNAMIC	Workshops and advocacy groups regularly work to translate native histories back into native forms of knowledge, distancing them from the Western influences that have invaded over the past six centuries.	40	43
raising	STATIVE	Many native peoples in Colombia are monolingual Spanish speakers, raising the question of the practicality of indigenous language use.	66	72
governing	DYNAMIC	The differences between cosmovision in Spanish and indigenous languages are great, leading to the difficulty of governing in Spanish yet embracing indigenous mode of thought.	112	120
divide	STATIVE	In addition, there exists a complex relationship between what are perceived as different levels of indigenous identity; the Nasa, for example, divide themselves into the traditional, modern, and new.	143	148
established	DYNAMIC	In Guatemala the fact remains that Spanish is the gateway to social mobility; years of conflict and refugee status have established the desire to leave a rural way of life for an updated urban one, and those literate in Spanish have the tools to do so.	120	130
perceived	STATIVE	The ONIC of Colombia lacks legitimacy precisely because it is perceived as not “Indian enough”; it embraces the use of Spanish and Western discourse, leading to distrust among indigenous peoples (Jackson 2002: 85).	62	70
appears	STATIVE	Politicians make a point of appearing in their native dress and speaking in their native language in assembly, even if they are more at home in a business suit and speaking Spanish; indigenous identity has become a calling card to the extent that at times it appears to be a caricature of itself.	259	265
provides	STATIVE	The Colombian constitution is problematic in that it provides little guide as to what exactly forms an indigenous group; the concept of culture is so complex and divergent that establishing self-determination in the eyes of the Colombian government requires emphasizing differences.	53	60
endanger	STATIVE	Efforts towards development, then, cannot endanger traditional culture and values, for fear of losing cultural legitimacy (Jackson 1995: 5).	42	49
develops	STATIVE	There develops a duality in native culture; for example, many Nasa children receive instruction in Nasa Yuwe yet converse in Spanish outside the classroom.	6	13
poses	DYNAMIC	This intersection of language and indigenous identity poses challenges which have yet to be fully addressed.	54	58
view	STATIVE	In Colombia, legal successes have often come about due to the Colombian government's recognition of the political viability of the rhetoric of indigenous rights; by granting indigenous peoples judicial sovereignty they hope to win the trust of a people who view the government as incapable of protecting them from the ongoing civil strife, and by giving them blocks of land they hope that the indigenous community will be able to keep out drug traffickers and guerrillas where the government itself has not (Jackson 1995: 8).	257	260
focusing	DYNAMIC	The discussion that follows analyzes the first movement of the Concerto, focusing on the tonal structures at play throughout the movement.	73	80
describes	DYNAMIC	Harmonic Structure and Form Bartók describes the form of the first movement as “more or less regular sonata form.” Bartók, 431.	35	43
presents	DYNAMIC	While that does not seem to be a meaningful assertion, it is perfectly accurate: the movement is in sonata form, but there is an introduction that does not relate thematically to any other parts of the movement (not unheard of in Mozart sonatas), and the recapitulation presents the two themes of the exposition in reverse order.	270	277
employs	DYNAMIC	The “backwards” recapitulation is a technique that Bartók employs frequently because of the formal symmetry it creates.	58	64
shows	DYNAMIC	Example 1 shows a diagram of the form of the movement; the symmetry is apparent within the seven sections following the introduction.	10	14
makes	DYNAMIC	Hence, on either side of the middle section of the development we have the alternation FTG-STG-FTG which makes the overall form, with the exception of the Introduction, symmetric.	105	109
discusses	DYNAMIC	Paul Wilson also discusses the inherent symmetry of the movement, although his interpretation is somewhat different.	17	25
stand	STATIVE	|| Intro | FTG | STG | Dev I (FTG) | Dev II (new) | Dev III (FTG) | STG | FTG || The abbreviations FTG and STG stand for First Theme Group and Second Theme Group, respectively.	111	115
find	STATIVE	While “tonality” in this piece (and in Bartók’s music in general) is quite different from its classical interpretation, we find that the harmonic structure is at least analogous to the standard sonata-form structure.	123	126
represented	STATIVE	Beginning with the exposition, the large-scale progression of tonal centers is a whole-tone descent from F to F, represented by the stemmed notes in Example 2, while the Introduction ascends from C♯ to F through D♯ (shown as D♭ and E♭ in the graph) in a quasi-bass Anstieg.	113	123
seek	STATIVE	Paul Wilson gives a detailed account of the foreground activity throughout this movement in his analysis; we do not seek to duplicate or substitute for his findings.	116	119
focus	DYNAMIC	Our analysis will focus instead on relating the foreground activity to the overarching background structure.	18	22
draws	DYNAMIC	The Introduction does not relate thematically to any of the main sections of the movement—in fact, it is the third movement that draws its thematic material from this section—but the harmonic and motivic principles at play here foreshadow some important elements of the entire piece.	129	133
presents	DYNAMIC	To begin with, the opening motive in the celli and basses, shown in Example 3, outlines a pentatonic set and strongly presents C♯ as the tonal center.	118	125
seen	STATIVE	Indeed, this set can be seen more as a by-product of stacked perfect fourths than a generative element itself.	24	27
adds	DYNAMIC	example 3: measures 1-6 (celli and basses) example 4: measures 12-16 (celli and basses) example 5: measures 22-29 (celli, basses and violas) Example 4 transitions from C♯ to F♯, and adds pitch-class E to the pentatonic set of Example 3, creating a six-note set of stacked fourths.	182	185
represented	STATIVE	The overall motion in the first 29 measures is C♯ to D♯, through F♯; these are represented enharmonically in Example 2 as D♭, E♭ and G♭.	79	89
see	DYNAMIC	155-233), and as we will see, it occurs in other places, though not relevant enough to the background structure to be represented in Example 2.	25	28
see	DYNAMIC	The section from measures 35-50 is centered on E; upon the return of D♯, enharmonically respelled as E♭, in measure 58, we see that E acts as its upper-neighbor.	123	125
describes	DYNAMIC	Paul Wilson describes the transition from the Introduction to the Exposition as “quite abrupt and seemingly unmotivated,” Wilson, 173. but it is in fact this motivic relationship that ties them together and creates a rather smooth transition.	12	20
employ	STATIVE	While the presence of the perfect fourths that was so prevalent in the Introduction is clear in the latter, the former does not employ the perfect fourth in its formation.	128	133
follows	DYNAMIC	example 8: measures 76-80 (violins) Rhythmically, we have a dissonance between the melody, which follows the written meter, and the accompanying chords in the bassoons, horns and lower strings.	97	103
illustrates	DYNAMIC	Example 11 illustrates this structure.	11	21
following	DYNAMIC	Immediately following the arrival of E♭ in the bass, C♯ (D♭) is established as the tonal center for the final transition to the second theme.	12	20
claims	DYNAMIC	example 11: bass structure of the first theme group, measures 76-155 example 12: measures 134-141 (trombone) Wilson claims that C and E♭ are “local dominants” to F in this first section of the exposition.	116	121
imply	DYNAMIC	While the strong V-I motion from measures 90-91 does carry a tonal implication of dominant-tonic, such cadential bass motion does not imply anything about structural function in this context.	134	138
established	DYNAMIC	E♭, furthermore, is not convincingly established as a dominant-functioning tone at all.	37	47
consider	STATIVE	Rather, we can consider this occurrence of E♭ as a middleground-level whole-tone descent that foreshadows the structural descent to E♭ at measure 131 that is represented in Example 2.	15	22
beginning	STATIVE	This creates both a smooth transition to the second theme and a strong sense that a new section is beginning, a combination that is generally rather difficult to forge.	99	108
dominates	DYNAMIC	B dominates as tonal center from measures 155-191 with little or no harmonic motion away from it.	2	10
filled	DYNAMIC	A♭ intervenes between E♭ and D♭ in measure 195—another instance of the whole-tone being “filled in” by a fourth.	88	94
is	DYNAMIC	The return to B in measure 210 is also filled-in in this way by F♯ in measures 208-209.	31	32
being	DYNAMIC	Hence, measures 155-210 constitute the bass progression B-E♭-D♭-B; the same stepwise descent (E♭-D♭) occurred in the first theme group while F rather than B was being prolonged.	161	165
established	DYNAMIC	In our terminology, this is the point at which B is unequivocally established as the structural dominant.	66	76
divided	STATIVE	The Development As mentioned, the development is divided into three subsections.	49	55
claims	DYNAMIC	Although Wilson claims that this theme is based on “a transformation in rhythm and contour of the second head-motive of [the first-theme],” Wilson, 182. there is no intervallic relationship between the two motives, and it is not clear what elements of a motive remain when rhythm, contour and interval content are changed.	16	21
spelled	DYNAMIC	example 13: measures 248-264 (violins) The second section of the development is in C♯ (which is sometimes spelled D♭).	106	112
is	DYNAMIC	This section is reproduced as Example 14.	13	14
established	STATIVE	Although the C♯ major chord in measure 293, preceded by A♭ major (V) in measure 285, suggests C♯ as tonal center, the tonality is not strongly established until measure 303.	143	153
found	STATIVE	As previously mentioned, the fugato motive incorporates the motion by perfect fourths found in the Introduction as well as the intervallic cell found in the second head motive of the first theme.	86	90
allows	STATIVE	The second and fourth entrances of the fugato subject are transposed up a perfect fifth, but the first note is B♭ rather than C, which allows Bartók to remain in this pentatonic set (and also to reinforce B♭ as tonal center).	135	140
reproduced	STATIVE	example 16: measures 316-318: establishment of b♭ The second instance of the fugato section, not reproduced in its entirety but based on the subject in Example 18, is an exact pitch inversion transposed to begin on C. The inversion blends seamlessly back into the original subject in measure 363.	97	106
presented	DYNAMIC	The second theme is initially presented in A, as part of the whole-tone descent, and proceeds directly to G, where it is restated slightly modified.	30	38
led	DYNAMIC	It is worth pointing out that the arrival on G at measure 425 is led into by D, which constitutes another “filling in” of the whole-step by the intervening fourth.	65	67
leads	DYNAMIC	The A♯ in measure 438 might initially seem to be a new tonal area, but it leads to D in measure 444, which constitutes a V chord still applied to G. Rather than resolve this D back to G, however, Bartók shifts briefly to F♯ in measure 456 and leads to E in measure 467.	74	78
recognized	DYNAMIC	The return of the first theme is certainly immediately recognized as such; however, there are some important differences.	55	64
had	STATIVE	Firstly, its initial appearance in the exposition had a minor flare to it; the first chord in Example 9 is an F-minor triad, and the first four notes of Example 8 ascend the F-minor scale.	50	52
thought	STATIVE	In fact, the chord progression of the first four measures of Example 19 can be thought of tonally as I-vi-V in F major—while we are reluctant to say that this passage is in major (the conspicuous A♭ in measure 490 easily brings doubt to this interpretation), we can certainly say that the minor flare of the beginning has been replaced by a major flare here in the recapitulation.	79	85
appears	DYNAMIC	In addition to the “mode”-shift, we notice that the metric dissonance shown in Examples 9 and 10 no longer appears (notice how regular the rhythm of the accompanying figure is in Example 19) and also that the written meter no longer changes.	107	113
drives	DYNAMIC	There are also no phrase divisions—the music simply drives forward with no pause until measure 514, where the fugato motive appears in the brass over an obvious V-I cadence, signaling the end of the movement which occurs as the motive completes.	52	57
falls	STATIVE	Thanks largely to the work of tonal theorists such as Heinrich Schenker and others, we have a detailed system for analyzing tonal music—their system, however, is virtually useless in analyzing music that falls entirely on the atonal side of the spectrum.	204	208
apply	DYNAMIC	But if we apply it to music such as Bartók’s that is in the middle area, we can come up with some enlightening and perhaps unexpected results.	10	14
find	DYNAMIC	By applying our tonal system to music that slips outside of the tonal realm, we not only find the elements of tonality that do remain, but we also pinpoint exactly when and how this music breaks from previous conventions.	89	92
understand	DYNAMIC	It is not disputed that Bartók’s music has great expressive power—perhaps now we can understand why.	85	94
made	STATIVE	The world is made up of a myriad of colors.	13	16
seen	STATIVE	At the same time in our modern society, color has been seen as an external threat to be purged from the enlightened mind and space.	55	58
seen	STATIVE	color is seen as corrupting, intoxicating, disorienting and in art, has come to be associated with the vulgar and the kitsch.	9	12
placed	DYNAMIC	We went from times of celebrating color and decoration to one of minimalism where black and white were placed at the front as representations of modernity and ultimate transcendence.	103	108
becomes	DYNAMIC	It is by color alone that a certain stone tells us it is a sapphire or emerald… color, then, is the peculiar characteristic of the lower forms of nature, while drawing becomes the medium of expression, more and more dominant, the higher we rise in the scale of being”(Blanc, Chromophobia, p.25).	168	174
demanded	STATIVE	For them, reaching the greatest depths of spirituality demanded expression in its most minimal form.	55	62
proved	DYNAMIC	This reduction of color and expression proved the purity the artist had reached within himself, it was a means of reducing down to the essence of a thing.	39	44
explains	DYNAMIC	In the Elimination of color in the Far East, Izutsu explains though how this ultimate state of minimalism can only be reached through an appreciation and fine knowledge of color.	52	59
manifests	DYNAMIC	“This artistic acestism, i.e., the suppression of externals and the reduction of all colors to black and white, manifests its real aesthetic function only against the background of a highly refined sensibility for colors and their subtle hues.	112	120
